,ano,autor,codigoEmenda,funcao,localidadeDoGasto,nomeAutor,numeroEmenda,subfuncao,tipoEmenda,valorEmpenhado,valorLiquidado,valorPago,valorRestoCancelado,valorRestoInscrito,valorRestoPago
14,2020,COMISSAO DE DEFESA DO CONSUMIDOR - CDC,202050130002,Direitos da cidadania,Nacional,COMISSAO DE DEFESA DO CONSUMIDOR - CDC,2,"Direitos individuais, coletivos e difusos",Emenda de Comissão,"25.000,00","25.000,00","25.000,00","0,00","0,00","0,00"
,ano,autor,codigoEmenda,funcao,localidadeDoGasto,nomeAutor,numeroEmenda,subfuncao,tipoEmenda,valorEmpenhado,valorLiquidado,valorPago,valorRestoCancelado,valorRestoInscrito,valorRestoPago
0,2020,COMISSAO DE DEFESA DO CONSUMIDOR - CDC,202050130002,Direitos da cidadania,Nacional,COMISSAO DE DEFESA DO CONSUMIDOR - CDC,0002,"Direitos individuais, coletivos e difusos",Emenda de Comissão,"25.000,00","25.000,00","25.000,00","0,00","0,00","0,00"
1,2020,BETO ROSADO,202030540012,Educação,RIO GRANDE DO NORTE (UF),BETO ROSADO,0012,Ensino superior,Emenda Individual,"30.170,70","11.199,66","11.199,66","0,00","20.843,28","17.098,80"
2,2020,RELATOR GERAL,202081000301,Cultura,Nacional,RELATOR GERAL,0301,"Patrimônio histórico, artístico e arqueológico",Emenda de Relator,"33.148,51","26.154,68","26.154,68","270,67","6.993,83","6.723,16"
3,2020,LUCIANO DUCCI,202037050008,Educação,PARANÁ (UF),LUCIANO DUCCI,0008,Ensino superior,Emenda Individual,"33.493,77","33.493,77","33.493,77","0,00","0,00","0,00"
4,2020,Sem informação,S/I,Agricultura,CEARÁ (UF),Sem informação,S/I,Desenvolvimento tecnológico e engenharia,Emenda de Bancada,"34.532,08","24.212,88","24.212,88","0,00","20.638,40","0,00"
5,2020,JARBAS VASCONCELOS,202025730003,Saúde,BUÍQUE - PE,JARBAS VASCONCELOS,0003,Assistência hospitalar e ambulatorial,Emenda Individual,"35.162,00","35.162,00","35.162,00","0,00","0,00","0,00"
6,2020,VAIDON OLIVEIRA,202038590013,Defesa nacional,FORTALEZA - CE,VAIDON OLIVEIRA,0013,Desporto comunitário,Emenda Individual,"36.242,22","32.747,30","32.747,30","3.147,96","3.494,92","346,96"
7,2020,JOSE RICARDO,202041090015,Direitos da cidadania,AMAZONAS (UF),JOSE RICARDO,0015,Assistência aos povos indígenas,Emenda Individual,"38.836,50","0,00","0,00","12.330,00","38.836,50","26.506,50"
8,2020,CHRISTIANE DE SOUZA YARED,202030730002,Saúde,PARANÁ (UF),CHRISTIANE DE SOUZA YARED,0002,Assistência hospitalar e ambulatorial,Emenda Individual,"41.052,00","41.052,00","41.052,00","0,00","0,00","0,00"
9,2020,FERNANDA MELCHIONNA,202039840003,Saúde,ALEGRETE - RS,FERNANDA MELCHIONNA,0003,Assistência hospitalar e ambulatorial,Emenda Individual,"42.493,00","42.493,00","42.493,00","0,00","0,00","0,00"
10,2020,Sem informação,S/I,Segurança pública,Nacional,Sem informação,S/I,Policiamento,Emenda de Bancada,"42.509,00","0,00","0,00","0,00","42.509,00","42.509,00"
11,2020,JOENIA WAPICHANA,202041510011,Direitos da cidadania,RORAIMA (UF),JOENIA WAPICHANA,0011,"Direitos individuais, coletivos e difusos",Emenda Individual,"45.681,00","0,00","0,00","45.681,00","45.681,00","0,00"
12,2020,RELATOR GERAL,202081001616,Agricultura,Nacional,RELATOR GERAL,1616,Desenvolvimento tecnológico e engenharia,Emenda de Relator,"45.756,00","14.616,50","14.616,50","19.243,30","31.139,50","11.896,20"
13,2020,LUIZ NISHIMORI,202028740002,Relações exteriores,Exterior,LUIZ NISHIMORI,0002,Relações diplomáticas,Emenda Individual,"47.130,82","47.130,82","47.130,82","0,00","0,00","0,00"
14,2020,MARRECA FILHO,202041200021,Saúde,MARANHÃO (UF),MARRECA FILHO,0021,Assistência hospitalar e ambulatorial,Emenda Individual,"47.786,00","47.786,00","47.786,00","0,00","0,00","0,00"
,ano,autor,codigoEmenda,funcao,localidadeDoGasto,nomeAutor,numeroEmenda,subfuncao,tipoEmenda,valorEmpenhado,valorLiquidado,valorPago,valorRestoCancelado,valorRestoInscrito,valorRestoPago
0,2020,VINICIUS FARAH,202040750025,Saúde,CORDEIRO - RJ,VINICIUS FARAH,0025,Assistência hospitalar e ambulatorial,Emenda Individual,"48.643,00","48.643,00","48.643,00","0,00","0,00","0,00"
1,2020,JOSE AIRTON FELIX CIRILO,202024410008,Defesa nacional,ARACATI - CE,JOSE AIRTON FELIX CIRILO,0008,Administração geral,Emenda Individual,"49.960,00","49.056,04","21.883,00","0,00","28.077,00","28.077,00"
2,2020,CELSO SABINO,202039370013,Defesa nacional,Nacional,CELSO SABINO,0013,Defesa naval,Emenda Individual,"49.998,81","49.998,81","49.998,81","0,00","0,00","0,00"
3,2020,JOSE NELTO,202040230012,Assistência social,GOIÁS (UF),JOSE NELTO,0012,Alimentação e nutrição,Emenda Individual,"49.999,90","49.999,90","47.074,91","0,01","2.924,99","2.924,98"
4,2020,"COMISSAO DE TRANSPARENCIA, GOVERNANCA, FISCALIZACA",202050350003,Direitos da cidadania,Nacional,"COMISSAO DE TRANSPARENCIA, GOVERNANCA, FISCALIZACA",0003,"Direitos individuais, coletivos e difusos",Emenda de Comissão,"50.000,00","50.000,00","50.000,00","0,00","0,00","0,00"
5,2020,ANGELA AMIN,202018800010,Defesa nacional,Nacional,ANGELA AMIN,0010,Defesa naval,Emenda Individual,"50.000,00","50.000,00","42.329,92","0,00","7.670,08","7.670,08"
6,2020,NEREU CRISPIM,202041210009,Cultura,Nacional,NEREU CRISPIM,0009,Difusão cultural,Emenda Individual,"50.000,00","0,00","0,00","0,00","100.000,00","0,00"
7,2020,ARLINDO CHINAGLIA,202031350007,Segurança pública,SÃO PAULO (UF),ARLINDO CHINAGLIA,0007,Policiamento,Emenda Individual,"50.000,00","0,00","0,00","0,00","100.000,00","0,00"
8,2020,JOSE MARIO SCHREINER,202038940004,Saúde,GOIÁS (UF),JOSE MARIO SCHREINER,0004,Assistência hospitalar e ambulatorial,Emenda Individual,"50.000,00","50.000,00","50.000,00","0,00","0,00","0,00"
9,2020,COMISSAO DE DEFESA DO CONSUMIDOR - CDC,202050130003,Direitos da cidadania,Nacional,COMISSAO DE DEFESA DO CONSUMIDOR - CDC,0003,"Direitos individuais, coletivos e difusos",Emenda de Comissão,"50.000,00","50.000,00","50.000,00","0,00","0,00","0,00"
10,2020,ALENCAR SANTANA BRAGA,202039050012,Segurança pública,SÃO PAULO (UF),ALENCAR SANTANA BRAGA,0012,Policiamento,Emenda Individual,"50.000,00","0,00","0,00","0,00","100.000,00","0,00"
11,2020,MARIA DO CARMO ALVES,202023310008,Assistência social,Nacional,MARIA DO CARMO ALVES,0008,Alimentação e nutrição,Emenda Individual,"50.000,00","50.000,00","50.000,00","0,00","0,00","0,00"
12,2020,WELLINGTON ROBERTO,202012770011,Saúde,Nacional,WELLINGTON ROBERTO,0011,Assistência hospitalar e ambulatorial,Emenda Individual,"50.000,00","50.000,00","50.000,00","0,00","0,00","0,00"
13,2020,MARRECA FILHO,202041200005,Educação,TUFILÂNDIA - MA,MARRECA FILHO,0005,Educação básica,Emenda Individual,"51.254,66","0,00","0,00","0,00","102.509,32","0,00"
14,2020,Sem informação,S/I,Educação,CEARÁ (UF),Sem informação,S/I,Ensino profissional,Emenda de Bancada,"51.659,00","0,00","0,00","0,00","51.659,00","51.659,00"
,ano,autor,codigoEmenda,funcao,localidadeDoGasto,nomeAutor,numeroEmenda,subfuncao,tipoEmenda,valorEmpenhado,valorLiquidado,valorPago,valorRestoCancelado,valorRestoInscrito,valorRestoPago
0,2020,DANIEL COELHO,202030800004,Direitos da cidadania,PERNAMBUCO (UF),DANIEL COELHO,4,"Direitos individuais, coletivos e difusos",Emenda Individual,"51.700,00","0,00","0,00","0,00","51.700,00","51.700,00"
1,2020,DR. LUIZ OVANDO,202039640009,Direitos da cidadania,SELVÍRIA - MS,DR. LUIZ OVANDO,9,"Direitos individuais, coletivos e difusos",Emenda Individual,"53.698,00","0,00","0,00","0,00","55.696,00","51.700,00"
2,2020,HEITOR FREIRE,202090650007,Saúde,Nacional,HEITOR FREIRE,7,Assistência hospitalar e ambulatorial,Emenda Individual,"57.600,00","57.600,00","57.600,00","0,00","0,00","0,00"
3,2020,ALE SILVA,202039040009,Saúde,TIMÓTEO - MG,ALE SILVA,9,Assistência hospitalar e ambulatorial,Emenda Individual,"58.269,00","58.269,00","58.269,00","0,00","0,00","0,00"
4,2020,FERNANDO AFFONSO COLLOR DE MELLO,202025790002,Defesa nacional,MACEIÓ - AL,FERNANDO AFFONSO COLLOR DE MELLO,2,Administração geral,Emenda Individual,"59.071,16","57.582,75","54.032,75","0,00","5.038,41","5.038,41"
5,2020,MAURICIO DZIEDRICKI,202028730005,Saúde,RIO GRANDE DO SUL (UF),MAURICIO DZIEDRICKI,5,Assistência hospitalar e ambulatorial,Emenda Individual,"59.683,00","59.683,00","59.683,00","0,00","0,00","0,00"
6,2020,RELATOR GERAL,202081001581,Cultura,Nacional,RELATOR GERAL,1581,"Patrimônio histórico, artístico e arqueológico",Emenda de Relator,"63.046,00","0,00","0,00","0,00","63.055,50","63.036,50"
7,2020,RAIMUNDO COSTA,202041280015,Assistência social,BAHIA (UF),RAIMUNDO COSTA,15,Assistência comunitária,Emenda Individual,"65.000,00","65.000,00","65.000,00","0,00","0,00","0,00"
8,2020,PROFESSOR JOZIEL,202040590018,Saúde,SÃO FIDÉLIS - RJ,PROFESSOR JOZIEL,18,Assistência hospitalar e ambulatorial,Emenda Individual,"68.274,00","0,00","0,00","0,00","68.274,00","68.274,00"
9,2020,CELSO SABINO,202039370012,Defesa nacional,Nacional,CELSO SABINO,12,Administração geral,Emenda Individual,"69.338,84","37.290,00","2.300,00","3.285,00","67.038,84","63.753,84"
10,2020,ARLINDO CHINAGLIA,202031350006,Assistência social,SÃO PAULO (UF),ARLINDO CHINAGLIA,6,Assistência comunitária,Emenda Individual,"70.000,00","70.000,00","70.000,00","0,00","0,00","0,00"
11,2020,ACIR GURGACZ,202026330013,Direitos da cidadania,Nacional,ACIR GURGACZ,13,"Direitos individuais, coletivos e difusos",Emenda Individual,"70.790,08","0,00","0,00","0,00","141.580,16","0,00"
12,2020,WELLINGTON ROBERTO,202012770010,Segurança pública,PARAÍBA (UF),WELLINGTON ROBERTO,10,Policiamento,Emenda Individual,"70.920,00","0,00","0,00","0,00","70.920,00","70.920,00"
13,2020,RELATOR GERAL,202081001582,Cultura,Nacional,RELATOR GERAL,1582,"Patrimônio histórico, artístico e arqueológico",Emenda de Relator,"78.808,00","0,00","0,00","0,00","78.808,00","78.808,00"
14,2020,RODRIGO COELHO,202041290009,Direitos da cidadania,SANTA CATARINA (UF),RODRIGO COELHO,9,"Direitos individuais, coletivos e difusos",Emenda Individual,"78.850,00","0,00","0,00","0,00","106.000,00","51.700,00"
